iter	RMSE
0	4267336.276
1	4100763.662
2	3948126.351
3	3809164.568
4	3686937.26
5	3583220.482
6	3493720.795
7	3412011.758
8	3340632.619
9	3278862.278
10	3221527.451
11	3172753.808
12	3128306.437
13	3078270.754
14	3040859.238
15	3003935.506
16	2969182.377
17	2942009.087
18	2918693.344
19	2894745.753
20	2875658.312
21	2856638.032
22	2839016.167
23	2822708.945
24	2803886.77
25	2788965.185
26	2776715.714
27	2761286.448
28	2748997.718
29	2736418.096
30	2723913.457
31	2715096.028
32	2707708.96
33	2697624.889
34	2687822.615
35	2679569.613
36	2672444.308
37	2665068.972
38	2659693.435
39	2652512.646
40	2645720.849
41	2638372.111
42	2632288.805
43	2627797.862
44	2623079.219
45	2618806.671
46	2614353.786
47	2610904.411
48	2607126.687
49	2603470.827
50	2598143.18
51	2593479.953
52	2590101.855
53	2587574.563
54	2583400.746
55	2580506.993
56	2575317.808
57	2571891.215
58	2569510.826
59	2566357.941
60	2562766.744
61	2560348.068
62	2558930.069
63	2556974.779
64	2555132.212
65	2552698.771
66	2550807.053
67	2545200.538
68	2544148.635
69	2541351.192
70	2539635.129
71	2536956.875
72	2535152.941
73	2533712.65
74	2532587.984
75	2531310.539
76	2530004.529
77	2528278.642
78	2524381.164
79	2523320.033
80	2519861.282
81	2517974.854
82	2516946.566
83	2515809.991
84	2514826.166
85	2514059.181
86	2513388.981
87	2512104.682
88	2511318.11
89	2510268.924
90	2509144.773
91	2508528.982
92	2504940.774
93	2503283.275
94	2502368.4
95	2501519.109
96	2500121.52
97	2498550.392
98	2497853.172
99	2497201.655
100	2495711.672
101	2495107.902
102	2494480.731
103	2493720.515
104	2493360.496
105	2492454.992
106	2491566.95
107	2490798.918
108	2488395.65
109	2486866.092
110	2486514.446
111	2484169.416
112	2483670.558
113	2482157.301
114	2481630.044
115	2480995.102
116	2480586.641
117	2479844.446
118	2478581.565
119	2478113.224
120	2477328.731
121	2476635.348
122	2476302.907
123	2474445.551
124	2473600.166
125	2472661.768
126	2471843.767
127	2471352.362
128	2470975.7
129	2470543.676
130	2470092.635
131	2468710.23
132	2468032.49
133	2467316.777
134	2466673.12
135	2466053.103
136	2465710.276
