iter	Passed	Remaining
0	56	56605
1	95	47448
2	135	45059
3	166	41526
4	214	42660
5	262	43430
6	311	44216
7	352	43719
8	389	42890
9	418	41401
10	449	40387
11	478	39395
12	509	38647
13	543	38278
14	578	37975
15	617	37957
16	648	37495
17	680	37116
18	711	36713
19	739	36249
20	771	35962
21	802	35675
22	837	35574
23	871	35444
24	903	35221
25	930	34865
26	963	34710
27	992	34437
28	1023	34283
29	1053	34068
30	1088	34010
31	1123	33972
32	1154	33838
33	1191	33853
34	1224	33769
35	1253	33561
36	1285	33465
37	1315	33294
38	1345	33158
39	1383	33207
40	1416	33122
41	1446	32992
42	1477	32885
43	1503	32659
44	1537	32633
45	1566	32497
46	1597	32384
47	1630	32333
48	1658	32188
49	1688	32075
50	1723	32076
51	1759	32081
52	1787	31947
53	1820	31888
54	1848	31768
55	1880	31697
56	1915	31692
57	1949	31658
58	1978	31562
59	2010	31494
60	2046	31497
61	2084	31531
62	2121	31558
63	2156	31544
64	2186	31454
65	2214	31331
66	2244	31260
67	2283	31297
68	2314	31233
69	2364	31414
70	2405	31472
71	2445	31523
72	2499	31742
73	2536	31742
74	2572	31733
75	2605	31671
76	2636	31607
77	2670	31561
78	2705	31536
79	2731	31407
80	2769	31420
81	2802	31371
82	2837	31346
83	2870	31305
84	2908	31313
85	2946	31314
86	2982	31297
87	3017	31271
88	3049	31209
89	3081	31154
90	3110	31066
91	3138	30979
92	3175	30965
93	3207	30911
94	3244	30904
95	3280	30894
96	3314	30857
97	3347	30809
98	3384	30806
99	3430	30877
100	3489	31063
101	3534	31120
102	3589	31256
103	3637	31335
104	3661	31210
105	3693	31148
106	3730	31132
107	3762	31075
108	3800	31070
109	3833	31016
110	3863	30944
111	3902	30938
112	3933	30873
113	3965	30819
114	3992	30723
115	4016	30609
116	4045	30531
117	4076	30469
118	4106	30401
119	4133	30312
120	4168	30279
121	4196	30198
122	4224	30120
123	4256	30068
124	4287	30012
125	4320	29967
126	4355	29940
127	4379	29834
128	4412	29793
129	4450	29781
130	4481	29731
131	4519	29716
132	4557	29711
133	4601	29738
134	4636	29707
135	4674	29693
136	4706	29649
137	4745	29644
138	4773	29570
139	4802	29499
140	4837	29472
141	4871	29434
142	4907	29410
143	4942	29379
144	4974	29332
145	5010	29306
146	5050	29309
147	5084	29271
148	5115	29215
149	5149	29180
150	5177	29112
151	5212	29079
152	5241	29014
153	5275	28981
154	5310	28949
155	5342	28904
156	5370	28834
157	5395	28754
158	5426	28704
159	5450	28617
160	5472	28519
161	5506	28481
162	5544	28471
163	5575	28423
164	5602	28350
165	5632	28299
166	5667	28267
167	5702	28241
168	5735	28203
169	5771	28177
170	5799	28117
171	5834	28088
172	5872	28074
173	5904	28030
174	5935	27980
175	5963	27921
176	5993	27865
177	6025	27826
178	6056	27780
179	6088	27736
180	6125	27719
181	6165	27709
182	6197	27668
183	6229	27627
184	6268	27614
185	6298	27562
186	6327	27510
187	6364	27487
188	6395	27441
189	6423	27385
190	6452	27330
191	6485	27291
192	6515	27243
193	6545	27194
194	6576	27147
195	6612	27124
196	6638	27058
197	6673	27030
198	6697	26959
199	6725	26903
200	6756	26855
201	6791	26831
202	6815	26757
203	6846	26715
204	6875	26665
205	6914	26650
206	6948	26618
207	6978	26571
208	7004	26510
209	7036	26471
210	7068	26431
211	7097	26382
212	7132	26354
213	7166	26320
214	7198	26284
215	7228	26236
216	7259	26195
217	7289	26147
218	7318	26100
219	7353	26072
220	7385	26033
221	7417	25996
222	7448	25953
223	7479	25911
224	7511	25873
225	7542	25830
226	7578	25807
227	7617	25791
228	7653	25766
229	7689	25744
230	7722	25707
231	7756	25675
232	7803	25689
233	7839	25663
234	7870	25620
235	7909	25603
236	7940	25564
237	7970	25518
238	7999	25472
239	8034	25442
240	8067	25407
241	8101	25377
242	8132	25334
243	8164	25297
244	8192	25247
245	8222	25201
246	8254	25163
247	8288	25133
248	8322	25102
249	8364	25093
250	8410	25097
251	8451	25086
252	8482	25044
253	8524	25036
254	8563	25017
255	8598	24988
256	8633	24961
257	8662	24911
258	8694	24874
259	8726	24837
260	8761	24807
261	8785	24746
262	8796	24650
263	8807	24555
264	8819	24460
265	8831	24368
266	8842	24274
267	8853	24183
268	8864	24088
269	8873	23992
270	8884	23898
271	8894	23804
272	8905	23716
273	8916	23625
274	8927	23536
275	8938	23446
276	8949	23360
277	8960	23272
278	8971	23185
279	8982	23097
280	8992	23009
281	9002	22921
282	9014	22839
283	9028	22762
284	9038	22676
285	9050	22594
286	9060	22510
287	9071	22425
288	9082	22343
289	9092	22261
290	9105	22185
291	9120	22114
292	9130	22031
293	9142	21953
294	9152	21872
295	9161	21790
296	9171	21710
297	9181	21629
298	9191	21550
299	9203	21475
300	9214	21398
301	9226	21324
302	9236	21247
303	9248	21173
304	9257	21095
305	9269	21023
306	9279	20946
307	9291	20875
308	9301	20800
309	9311	20726
310	9323	20654
311	9331	20578
312	9341	20504
313	9353	20435
314	9365	20365
315	9375	20294
316	9386	20224
317	9396	20152
318	9405	20078
319	9414	20006
320	9425	19937
321	9436	19870
322	9447	19802
323	9458	19734
324	9469	19667
325	9481	19603
326	9492	19537
327	9503	19470
328	9513	19402
329	9524	19336
330	9541	19285
331	9551	19219
332	9564	19157
333	9587	19117
334	9597	19052
335	9608	18989
336	9619	18924
337	9629	18859
338	9640	18797
339	9650	18733
340	9662	18674
341	9674	18614
342	9686	18554
343	9698	18494
344	9708	18432
345	9718	18370
346	9727	18306
347	9739	18246
348	9749	18186
349	9761	18128
350	9771	18067
351	9781	18007
352	9791	17947
353	9803	17890
354	9814	17832
355	9825	17774
356	9836	17717
357	9846	17657
358	9855	17597
359	9866	17539
360	9876	17482
361	9888	17426
362	9898	17369
363	9908	17312
364	9918	17255
365	9927	17197
366	9939	17143
367	9949	17086
368	9960	17033
369	9970	16976
370	9980	16921
371	9991	16866
372	10001	16811
373	10010	16755
374	10034	16724
375	10065	16704
376	10089	16672
377	10117	16647
378	10149	16630
379	10191	16627
380	10227	16617
381	10250	16583
382	10262	16532
383	10272	16478
384	10283	16426
385	10295	16376
386	10321	16348
387	10351	16328
388	10380	16304
389	10418	16296
390	10450	16277
391	10492	16274
392	10530	16264
393	10555	16234
394	10584	16212
395	10616	16193
396	10643	16166
397	10668	16136
398	10697	16113
399	10725	16088
400	10755	16066
401	10774	16027
402	10792	15987
403	10802	15936
404	10811	15883
405	10821	15832
406	10834	15785
407	10845	15736
408	10855	15686
409	10866	15637
410	10877	15588
411	10887	15538
412	10898	15489
413	10908	15440
414	10918	15390
415	10928	15342
416	10938	15293
417	10949	15245
418	10960	15198
419	10971	15150
420	10982	15104
421	10994	15058
422	11005	15011
423	11016	14965
424	11028	14920
425	11038	14873
426	11049	14827
427	11059	14781
428	11069	14734
429	11081	14688
430	11093	14645
431	11102	14597
432	11113	14552
433	11124	14507
434	11141	14471
435	11153	14428
436	11163	14382
437	11175	14339
438	11185	14294
439	11196	14249
440	11206	14205
441	11216	14159
442	11226	14116
443	11239	14074
444	11249	14030
445	11258	13985
446	11269	13941
447	11277	13895
448	11289	13853
449	11299	13810
450	11308	13765
451	11318	13722
452	11329	13680
453	11341	13639
454	11352	13598
455	11363	13556
456	11374	13514
457	11385	13473
458	11396	13432
459	11408	13392
460	11419	13351
461	11429	13310
462	11440	13269
463	11453	13230
464	11465	13191
465	11476	13151
